Epoch	 	Train Loss	 	Train Accuracy	 	Test Loss	 	Test Accuracy		
1	 	1.7211223151286443	 	74.52	 	1.5163813518285751 	94.7
2	 	1.4999978164633114	 	96.27	 	1.490392280459404 	97.16
3	 	1.4888859268426895	 	97.31	 	1.4844333847761155 	97.73
4	 	1.4838782598376274	 	97.79	 	1.4779203513860701 	98.37
5	 	1.479558665116628	 	98.19	 	1.4758123382329942 	98.63
6	 	1.4770969985326132	 	98.45	 	1.4763516834974288 	98.49
7	 	1.475670052309831	 	98.58	 	1.474639356970787	98.6
8	 	1.4743216513792674	 	98.71	 	1.473603923559189	98.76
9	 	1.473329951743285	 	98.8	 	1.4754698417186738 	98.59
10	 	1.4737392377654712	 	98.75	 	1.473061896920204	98.8
11	 	1.4719444776177406	 	98.95	 	1.4731793226003647 	98.8
12	 	1.4711294270356496	 	99.04	 	1.4746382420063018 	98.66
13	 	1.4716002144614855	 	98.97	 	1.4736770416498184 	98.77
14	 	1.4708802126646041	 	99.04	 	1.4737999041080474 	98.75
15	 	1.470569240808487	 	99.07	 	1.4721149950027466 	98.88
16	 	1.469324835618337	 	99.19	 	1.4705331735610963 	99.09
17	 	1.469582853158315	 	99.17	 	1.4737929147481919 	98.68
18	 	1.468863911708196	 	99.23	 	1.4738879698514937 	98.72
19	 	1.4694612067937851	 	99.17	 	1.4717094198465348 	98.96
20	 	1.468619461119175	 	99.26	 	1.4704800350666045 	99.08
21	 	1.4683455517292023	 	99.29	 	1.4718042924404144 	98.95
22	 	1.4678755438725153	 	99.33	 	1.470219209909439	99.11
23	 	1.4680762189626693	 	99.32	 	1.470131688952446 	99.08
24	 	1.467260010321935	 	99.4	 	1.4703731853961945 	99.06
25	 	1.46729911839962	 	99.39	 	1.470694578051567	99.04
26	 	1.4668747213085493	 	99.44	 	1.4705796172618866 	99.07
27	 	1.4671059109568596	 	99.41	 	1.470636246919632	99.02
28	 	1.4673620585004488	 	99.38	 	1.4694467064142227 	99.18
29	 	1.4669609066645304	 	99.42	 	1.4706814321279527 	99.05
30	 	1.4663383811712265	 	99.49	 	1.4701992754936217 	99.1
31	 	1.4662644189596177	 	99.49	 	1.470170085787773 	99.12
32	 	1.4661725582281748	 	99.5	 	1.4735529571771622 	98.76
33	 	1.4656781874696414	 	99.55	 	1.4691234139204026 	99.2
34	 	1.4658089869221052	 	99.54	 	1.4685789145231247 	99.26
35	 	1.4657679311037064	 	99.55	 	1.4701989659070969 	99.08
36	 	1.4655881776014963	 	99.56	 	1.4700798840522766 	99.1
37	 	1.4653835018078487	 	99.59	 	1.4710146327018738 	99.01
38	 	1.4652114074627558	 	99.61	 	1.4699902881383895 	99.09
39	 	1.4653974525928497	 	99.58	 	1.470032035946846 	99.12
40	 	1.4650260584155719	 	99.62	 	1.4692191454172134 	99.19

Best Accuracy is 99.26
